model,r2,mae,rmse
TF-IDF Only,0.6346883039814221,0.12526550924253393,0.15562038157853902
RF Only,0.7615627703030226,0.0876803134992927,0.1257250222036216
Hybrid Ensemble,0.8363342566087171,0.075319099458415,0.10416302435484297
