n_estimators,r2,mae,rmse
50,0.9894920246100564,0.01505945050748009,0.028130765702902013
100,0.9888507727682303,0.014615694046102174,0.028976399023026914
200,0.9890509372721803,0.014409430246208789,0.02871511117194554
500,0.9894995407454068,0.014239947918193833,0.02812070322859515
