max_features,r2,mae,rmse
500,0.11793735825755591,0.15099710034707228,0.21584670222552924
1000,0.15209333537999536,0.15958742799681436,0.2143365422730712
2000,0.1445971765470473,0.16706567522650637,0.23424156561983625
5000,0.13057008276895465,0.17044530194697835,0.23696224180981973
