brand_encoded_scaled,category_encoded_scaled,log_reviews_scaled,log_wishlist_scaled,log_price_scaled,wishlist_review_ratio_scaled,popularity_score_scaled,average_rating_scaled,product_name,brand_name,default_category,average_rating,total_reviews,total_in_wishlist,price_numeric
-2.1733012549068653,-1.0890218766795021,-0.6477266204171266,0.281294142812997,1.318633081592591,1.0926564270469015,0.21550856800610693,0.52259323751972,Heartleaf Essence Calming Pump,Abib,Essence,4.775,8,328,380000
-2.1733012549068653,1.416725625928982,-0.299972647351253,0.7748279761753507,1.3770398555807752,1.0926564270469015,0.28888638892978624,0.10331065658233485,Quick Sunstick Protection Bar,Abib,Sunscreen,4.666666666666666,17,786,400000
-2.1733012549068653,-1.0890218766795021,-0.8511496541374579,0.23657352532359557,1.318633081592591,1.0926564270469015,-0.39431311546294207,-0.12706438788874963,Yuja Essence Vitalizing Pump,Abib,Essence,4.607142857142858,5,303,380000
-2.1733012549068653,1.2775174313396216,-0.32864919118560604,0.6352814135839496,1.2570676942974894,1.0926564270469015,0.292992007040485,0.21081901066884598,Heartleaf Spot Pad Calming Touch,Abib,Skin Care Set,4.694444444444445,16,614,360000
-2.1733012549068653,1.486329723223662,-0.2728469638936918,0.394690991263242,-0.45559215984660284,1.0926564270469015,-0.14057620239083002,-0.2514669119031388,Heartleaf Calming Toner Skin Booster,Abib,Toner,4.575,18,401,80000
-2.1733012549068653,-1.0890218766795021,-0.7738118060379683,0.04318835644482028,1.3482109110622214,1.0926564270469015,0.24834700188483033,0.7886764138838261,Heartleaf Sun Essence Calming Drop,Abib,Essence,4.84375,6,215,390000
-2.1733012549068653,1.2079133340449415,-0.8511496541374579,0.14810220502694757,-0.8617265997677781,1.0926564270469015,0.47323243189742586,1.070885843360911,Gummy Sheet Mask Milk Sticker,Abib,Sheet Mask,4.916666666666667,5,259,56000
-2.1733012549068653,-0.5321890983220612,-1.4023266609236626,-0.34382640143800697,1.608125102420804,1.0926564270469015,0.23022249786689925,1.393410905620434,Jericho Rose Creme Nutrition Tube,Abib,Face Cream,5.0,1,108,490000
-2.1733012549068653,-0.5321890983220612,-1.1989036272033318,-0.09902256848631526,1.4593901361452153,1.0926564270469015,0.07233275198912734,0.9096233122311477,Rebalancing Emulsion Skin Booster,Abib,Face Cream,4.875,2,167,430000
-2.1733012549068653,1.486329723223662,-1.7500806339895365,-0.11960187366383458,1.432596366083639,1.0926564270469015,0.16669307596927163,1.393410905620434,Rebalancing Toner Skin Booster,Abib,Toner,5.0,0,161,420000
-2.1733012549068653,1.486329723223662,-1.054572687857789,-0.6363581408045191,1.0867986068792723,1.0926564270469015,-0.7151964194576481,0.10331065658233829,Heartleaf Facial Mist Calming Spray Set,Abib,Toner,4.666666666666667,3,64,310000
-2.1733012549068653,1.2079133340449415,-0.5033956810715841,0.23096156006702562,-0.8617265997677781,1.0926564270469015,0.41368583586135627,0.723551160927575,Gummy Sheet Mask Heartleaf Sticker,Abib,Sheet Mask,4.826923076923077,11,300,56000
-2.1733012549068653,1.2079133340449415,-0.3914439070329762,0.289829274840657,-0.8617265997677781,1.0926564270469015,-0.09834568265651862,-0.057951874547424974,Mild Acidic pH sheet Mask Heartleaf Fit,Abib,Sheet Mask,4.625,14,333,56000
-2.1733012549068653,-0.18416861184866065,-0.027239183704207817,0.2847236595247299,0.7469102858707315,1.0926564270469015,0.8063752655018585,0.9096233122311477,Acne Foam Cleanser Heartleaf Foam,Abib,Face Wash,4.875,30,330,230000
-2.1733012549068653,1.5559338205183422,-1.4023266609236626,-0.8079217020850707,1.3482109110622214,1.0926564270469015,0.01838451284646735,1.393410905620434,Rice Probiotics Overnight Mask Barrier Jelly,Abib,Wash Off Mask,5.0,1,47,390000
-2.1733012549068653,-1.0890218766795021,-1.4023266609236626,-0.47793757353173016,1.318633081592591,1.0926564270469015,0.16900696643304836,1.393410905620434,Jericho Rose Essence Nutrition Pump,Abib,Essence,5.0,1,85,380000
-2.1733012549068653,0.23345597191942,-0.7738118060379683,0.20203523592390712,0.33367727607010417,1.0926564270469015,0.13752149967517574,0.546782617189183,Protective Lip Balm Block Stick,Abib,Lip Balm,4.78125,6,285,160000
