brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,brand_name_clean,category_clean,price_numeric,log_reviews,log_wishlist,log_price,review_wishlist_ratio,popularity_score,brand_limited,category_limited,brand_encoded,category_encoded,price_tier,brand_encoded_scaled,category_encoded_scaled,log_reviews_scaled,log_wishlist_scaled,log_price_scaled,review_wishlist_ratio_scaled,popularity_score_scaled,average_rating_scaled
Esscentials-indonesia,OUI Handsoap - Warm Shower,94576,20,Rp 114.000,"""250ml"": 114000",https://www.sociolla.com/hand-wash/66234-oui-handsoap-warm-shower,2022-05-24T04:49:19.283Z,Hand Wash,Bath & Body; Body Cleanser; Hand Wash,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,5,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",5,0,0,5,26,Esscentials-indonesia,Hand Wash,1000,1.791759469228055,3.295836866004329,6.90875477931522,0.5436432511904858,3.5262789005697153,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,-0.8485605220241553,-1.184058563653225,2.6645352591003757e-15,-0.2323099847673328,-0.9508644301712608,1.378484671497515
Esqa,Flawless Liquid Corrector,82327,30,Rp 165.000,,https://www.sociolla.com/concealer/53985-flawless-liquid-corrector,2022-06-13T10:46:17.652Z,Concealer,Makeup; Face; Concealer,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.682332761578044,583,"""star_long_wear"": 4.668953687821612; ""star_packaging"": 4.7272727272727275; ""star_pigmentation"": 4.770154373927959; ""star_texture"": 4.655231560891938; ""star_value_for_money"": 4.590051457975986",562,111,20,452,3494,Esqa,Concealer,1000,6.369900982828227,8.15908865466791,6.90875477931522,0.7807123138910781,6.231629995880059,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,1.5898695862900898,1.774942603694781,2.6645352591003757e-15,0.23440539665524263,1.8493591971820549,0.15459966263876374
Rei-skin,Vanilla + Goat's Milk Moisturizing Body Lotion,74468,20,Rp 110.500,"""250 ml"": 110500",https://www.sociolla.com/default-category/27648-vanilla-goat-s-milk-moisturizing-body-wash,,Body Lotion / Body Serum,Bath & Body; Body Care; Body Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.724789915966387,119,"""star_effectiveness"": 4.663865546218488; ""star_packaging"": 4.73109243697479; ""star_texture"": 4.815126050420168; ""star_value_for_money"": 4.689075630252101",116,20,5,94,532,Rei-skin,Body Lotion / Body Serum,1000,4.787491742782046,6.278521424165844,6.90875477931522,0.7625189784899246,5.209719916470922,Other,Body Lotion / Body Serum,35,1,Budget,0.38382084800833954,-2.1319202692723143,0.7470397342331708,0.6307286349047406,2.6645352591003757e-15,0.19858836775079164,0.7916122916685938,0.31817546929992285
Joylab,The Incredible Pro-Treatment Keratin Hair Mask,90297,10,Rp 95.000,,https://www.sociolla.com/hair-mask/61955-the-incredible-pro-treatment-keratin-hair-mask,2023-08-10T04:46:17.410Z,Hair Mask,Hair Care; Hair Treatment; Hair Mask,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.685185185185185,27,"""star_effectiveness"": 4.62962962962963; ""star_packaging"": 4.888888888888889; ""star_texture"": 4.851851851851852; ""star_value_for_money"": 4.37037037037037",24,8,2,17,457,Joylab,Hair Mask,1000,3.332204510175204,6.126869184114185,6.90875477931522,0.5438674158108322,4.7117961823608905,Joylab,Hair Mask,22,19,Budget,-0.7627145991231186,0.12512573358597032,-0.028081828455980052,0.5384572134681976,2.6645352591003757e-15,-0.23186867422645244,0.2762271324957679,0.16558927084966085
Dear-klairs,Supple Preparation All Over Lotion,21196,70,Rp 375.000,"""250 ml"": 375000",https://www.sociolla.com/face-cream-lotion/9669-supple-preparation-all-over-lotion,,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.283333333333333,60,"""star_effectiveness"": 4.333333333333333; ""star_packaging"": 4.35; ""star_texture"": 4.3; ""star_value_for_money"": 4.15",51,10,14,36,374,Dear-klairs,Face Cream,1000,4.110873864173311,5.926926025970411,6.90875477931522,0.6935929090662544,4.72467330037645,Dear-klairs,Face Cream,8,14,Budget,-1.9974450806493043,-0.5018314894302198,0.3866565083931706,0.41680362363561024,2.6645352591003757e-15,0.06289433659137803,0.2895558313777334,-1.382636034683188
Emina,Squeeze Me Up Liquid Concealer,85122,10,Rp 58.000,"""8 gr"": 58000",https://www.sociolla.com/concealer/56780-squeeze-me-up-liquid-concealer,2023-06-26T09:30:37.584Z,Concealer,Makeup; Face; Concealer,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.448571428571428,140,"""star_long_wear"": 4.25; ""star_packaging"": 4.635714285714286; ""star_pigmentation"": 4.264285714285714; ""star_texture"": 4.421428571428572; ""star_value_for_money"": 4.671428571428572",128,45,13,82,1717,Emina,Concealer,1000,4.948759890378168,7.4489161025442,6.90875477931522,0.6643597299596251,5.498731369305282,Emina,Other,13,23,Budget,-1.5564699086756666,0.6266915119989224,0.8329350927410412,1.342844595598426,2.6645352591003757e-15,0.005343282980573609,1.0907589348548987,-0.7460188353179366
Buttonscarves,Easy Peasy Blending Makeup Sponge Set,94328,50,Rp 275.000,"""Non Specify"": 275000",https://www.sociolla.com/sponge-applicators/65986-easy-peasy-blending-makeup-sponge-set,2022-05-31T10:50:54.579Z,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,1,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",1,0,0,1,30,Buttonscarves,Sponge & Applicators,1000,0.6931471805599453,3.4339872044851463,6.90875477931522,0.20184908658209985,3.2381403155135278,Other,Sponge & Applicators,35,27,Budget,0.38382084800833954,1.1282572904118744,-1.4337082886657562,-1.1000022510051408,2.6645352591003757e-15,-0.9051965777542922,-1.249107595439217,1.378484671497515
Precious-skin,AHA Body Booster Lotion,95703,30,Rp 155.000,"""250ml"": 155000",https://www.sociolla.com/body-lotion-body-serum/67361-aha-body-booster-lotion,2022-06-13T02:33:44.836Z,Body Lotion / Body Serum,Bath & Body; Body Care; Body Lotion / Body Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.565789473684211,19,"""star_effectiveness"": 4.421052631578948; ""star_packaging"": 4.7894736842105265; ""star_texture"": 4.684210526315789; ""star_value_for_money"": 4.368421052631579",16,2,3,14,444,Precious-skin,Body Lotion / Body Serum,1000,2.995732273553991,6.09807428216624,6.90875477931522,0.4912587375845816,4.554457756189754,Other,Body Lotion / Body Serum,35,1,Budget,0.38382084800833954,-2.1319202692723143,-0.20729516861850414,0.5209372181687038,2.6645352591003757e-15,-0.335438828192564,0.11337108796286373,-0.2944097588078063
Derma-angel,Acne Patch Day 12+12 & Night 6,69909,10,Rp 51.000,,https://www.sociolla.com/acne-pimple-patch/11055-acne-patch-day-12-12-and-night-6,2022-05-20T07:55:43.277Z,Acne / Pimple Patch,Skincare; Treatment; Acne / Pimple Patch,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.548699830412662,61,"""star_effectiveness"": 4.745618993781798; ""star_packaging"": 4.672131147540983; ""star_texture"": 4.449180327868853; ""star_value_for_money"": 4.327868852459017",59,12,1,48,3671,Derma-angel,Acne / Pimple Patch,1000,4.127134385045092,8.20849175174038,6.90875477931522,0.5027883940030821,5.520167773200706,Other,Other,35,23,Budget,0.38382084800833954,0.6266915119989224,0.39531725938848905,1.8050014672413506,2.6645352591003757e-15,-0.31274051432683725,1.1129470807031439,-0.36025148145661645
Avoskin,YSB Glow Concentrate Treatment Polypeptide + Multi Probiome + Acetyl Glucosamine + Red Algae,91022,70,Rp 138.800 - Rp 398.500,"""15ml"": 138800",https://www.sociolla.com/face-cream-lotion/62680-ysb-glow-concentrate-treatment-polypeptide-multi-probiome-acetyl-glucosamine-red-algae,2023-09-27T09:19:43.669Z,Face Cream,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.488888888888889,90,"""star_effectiveness"": 4.544444444444444; ""star_packaging"": 4.566666666666666; ""star_texture"": 4.666666666666667; ""star_value_for_money"": 4.177777777777778",78,24,11,55,672,Avoskin,Face Cream,1000,4.51085950651685,6.511745329644728,6.90875477931522,0.6927266467226777,5.102337006404029,Avoskin,Face Cream,2,14,Budget,-2.5266152870176697,-0.5018314894302198,0.599698641382395,0.772631591723499,2.6645352591003757e-15,0.061188934986087115,0.6804636269113578,-0.5906866848484122
