brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,price_numeric
Sisterann,Smart Fit Cover Cushion,104306,80,Rp 400.000,"""21 LIGHT BEIGE"": 400000; ""23 NATURAL BEIGE"": 400000",https://www.sociolla.com/6321-cushion/75964-smart-fit-cover-cushion,,Cushion,Makeup; Face; Cushion,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.9,2,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 4.5",2,0,0,2,23,400000
Sisterann,Pinkhole Jelly Cover Pact,104315,80,Rp 400.000,"""19 PURE BEIGE"": 400000; ""21 LIGHT BEIGE"": 400000",https://www.sociolla.com/cushion/75973-pinkhole-jelly-cover-pact,2023-06-21T14:44:38.313Z,Cushion,Makeup; Face; Cushion,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.8,2,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 4.5; ""star_texture"": 5; ""star_value_for_money"": 4.5",2,0,0,2,-8,400000
Sisterann,Perfect Slim Eye Pencil,104307,20,Rp 141.500,"""01 BLACK"": 141500; ""02 BROWN"": 141500",https://www.sociolla.com/165-eyeliner/75965-perfect-slim-eye-pencil,,Eyeliner,Makeup; Eyes; Eyeliner,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.1,2,"""star_long_wear"": 4.5; ""star_packaging"": 4; ""star_pigmentation"": 5; ""star_texture"": 4; ""star_value_for_money"": 3",2,1,0,1,16,141500
Skii,Genoptics Aura Essence 30ml,1818,610,Rp 3.070.696,,https://www.sociolla.com/essence/7621-genoptics-aura-essence-30ml,,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.416666666666666,66,"""star_effectiveness"": 4.5; ""star_packaging"": 4.681818181818182; ""star_texture"": 4.666666666666667; ""star_value_for_money"": 3.8181818181818183",59,13,7,46,456,3070696
Skii,Facial Treatment Essence,2066,610,Rp 1.280.000 - Rp 3.050.000,"""75 ml"": 1280000",https://www.sociolla.com/essence/7978-facial-treatment-essence,2022-08-15T09:18:04.752Z,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.4461538461538455,910,"""star_effectiveness"": 4.583516483516483; ""star_packaging"": 4.625274725274726; ""star_texture"": 4.724175824175824; ""star_value_for_money"": 3.8516483516483517",844,188,91,631,2640,2165000
Skii,Skinpower Eye Cream,92222,370,Rp 1.860.000,,https://www.sociolla.com/eye-care/63880-skinpower-eye-cream,2022-07-06T08:14:05.395Z,Eye Cream,Skincare; Eye Care; Eye Cream,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,5.0,2,"""star_effectiveness"": 5; ""star_packaging"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",2,0,0,2,196,1860000
Skii,Atmosphere CC Cream,2055,240,Rp 1.240.000,,https://www.sociolla.com/bb-cc-cream/7967-atmosphere-cc-cream,,Bb  Cc Cream,Makeup; Face; BB & CC Cream,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.589473684210526,19,"""star_long_wear"": 4.684210526315789; ""star_packaging"": 4.842105263157895; ""star_pigmentation"": 4.421052631578948; ""star_texture"": 4.578947368421052; ""star_value_for_money"": 4.421052631578948",15,1,4,14,482,1240000
Skinaqua,Skin Aqua Tone Up  UV Essence Mint Green,91268,10,Rp 86.000,"""40gr"": 86000",https://www.sociolla.com/sunscreen/62926-skin-aqua-tone-up-uv-essence-mint-green,,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.532051282051282,39,"""star_effectiveness"": 4.564102564102564; ""star_packaging"": 4.512820512820513; ""star_texture"": 4.487179487179487; ""star_value_for_money"": 4.564102564102564",34,5,6,28,565,86000
Skinaqua,UV Moisture Milk,1656,10,Rp 69.000,"""40 gr"": 69000",https://www.sociolla.com/sunscreen/7362-uv-moisture-milk-,2022-07-08T07:22:01.228Z,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.524120120431894,4816,"""star_effectiveness"": 4.5495535714285715; ""star_packaging"": 4.571636212624584; ""star_texture"": 4.464078073089701; ""star_value_for_money"": 4.511212624584718",4517,794,481,3541,2973,69000
Skinaqua,UV Whitening Milk,1657,10,Rp 69.000,"""40 gr"": 69000",https://www.sociolla.com/sunscreen/7364-uv-whitening-milk,2022-07-08T07:23:44.042Z,Sunscreen,Skincare; Sunscreen; Sun Care,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.606595208070617,971,"""star_effectiveness"": 4.639714165615804; ""star_packaging"": 4.633846153846154; ""star_texture"": 4.57025641025641; ""star_value_for_money"": 4.582564102564103",925,175,68,732,3159,69000
